-125,-1250,-187
-156,-1312,0
-187,-1218,62
-218,-1093,0
-156,-1031,0
-156,-875,-62
-187,-781,-62
-125,-437,-93
187,-781,-468
-156,-1312,187
-62,-1375,-156
-187,-1312,-31
-31,-1218,31
-31,-1156,62
-156,-1031,-125
-125,-875,-218
-125,-812,-156
-93,-562,-218
-406,-781,-281
-281,-1218,-343
-31,-1218,-125
-93,-1218,62
-156,-1187,0
-156,-1000,0
-93,-875,-62
-156,-812,-62
-125,-562,-93
187,-656,-406
-31,-1406,0
-31,-1375,31
-250,-1343,0
-31,-1281,62
31,-1125,0
-125,-906,-187
-156,-843,-250
-31,-718,-125
-125,-593,-343
-312,-843,-250
-375,-1375,-218
-156,-1187,-93
-31,-1218,0
-156,-1062,31
-250,-937,-62
-187,-906,-31
-156,-812,-93
-250,-718,-93
-93,-781,-312
0,-812,-93
-31,-1468,93
-218,-1406,0
-31,-1250,62
-62,-1125,31
-93,-906,-156
-187,-718,-250
-156,-562,-250
-218,-625,-437
-187,-1062,-375
-218,-1312,-62
-156,-1218,-156
-187,-1343,93
-281,-1156,0
-156,-1000,-31
-93,-875,0
-187,-656,-125
-125,-468,-250
156,-718,-375
0,-1500,125
62,-1312,-62
-250,-1437,31
-93,-1281,31
0,-1062,0
-125,-906,-156
-187,-750,-250
-281,-875,-406
-281,-1187,-375
-187,-1281,-62
-31,-1156,-125
-62,-1187,31
-218,-1093,0
-187,-937,-62
-93,-843,-31
-187,-687,-125
-187,-593,-156
125,-968,-375
31,-1281,31
31,-1250,-62
-125,-1343,-62
-62,-1312,0
0,-1125,0
-62,-906,-125
-125,-750,-218
-93,-625,-156
0,-437,-218
-406,-1218,-468
-187,-1468,-250
31,-1281,-343
-93,-1312,31
-156,-1187,-218
-125,-968,-62
-93,-906,-62
-62,-781,-156
-93,-687,-62
93,-1187,-187
218,-1156,-156
31,-1312,0
62,-1187,-93
187,-1093,-156
93,-1031,-125
31,-906,-250
0,-906,-281
0,-937,-187
0,-937,-218
-93,-1093,-218
-125,-1093,-125
-31,-1093,-281
-93,-1218,-62
-31,-1156,-93
-62,-1093,-93
-62,-1062,-125
